item_id,item_name,category_guess,section,file_offset,u16_00,u16_02,u16_06,u8_08,u8_09,u8_0A,u8_0B,u32_0C,u32_10,u32_14,u8_18,u8_19,u8_1A,u8_1B,u8_1C,u8_1D,u8_1E,u8_1F,armor_divisor
2704,,Unknown,.rdata,0x111f80,2690,26,26,158,10,26,0,1706664,1706676,1706688,206,10,26,0,218,10,26,0,5
2724,,Unknown,.rdata,0x176cc0,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0,5
2766,,Unknown,.rdata,0x19d580,2752,26,26,218,10,26,0,1706728,1706768,0,60,236,25,0,0,0,0,0,5
2800,,Unknown,.rdata,0x112180,2768,4113,4113,16,11,17,16,269552432,269552464,269552496,144,11,17,16,176,11,17,16,5
2802,,Unknown,.rdata,0x19d500,2402,26,26,120,9,26,0,1706370,1706380,1706390,160,9,26,0,170,9,26,0,5
2832,,Unknown,.rdata,0x111fa0,2792,26,26,0,0,0,0,1698876,0,1707158,98,234,25,0,134,12,26,0,5
2876,,Unknown,.rdata,0x111e40,2890,26,26,50,11,26,0,1706780,1705696,1705712,250,6,26,0,16,7,26,0,5
2916,,Unknown,.rdata,0x19d420,2926,26,26,92,11,26,0,1706826,1706812,1706802,28,11,26,0,224,6,26,0,5
2994,,Unknown,.rdata,0x111e20,3006,26,26,162,11,26,0,1706900,1706880,1706862,100,11,26,0,92,11,26,0,5
3000,,Unknown,.rdata,0x141de0,10000,0,0,232,3,0,0,1000,1000,1000,232,3,0,0,88,2,0,0,5
3008,Ultrasonic Obstructor,Unknown,.rdata,0x144e20,0,0,256,140,10,0,0,500,150,25600,30,0,1,0,213,4,1,0,5
